Timestamp,PM2.5,PM10,Gas,CO,Temp,Hum,Status
2026-05-05 09:36:14 UTC,7,9,247.4,1.66,29.7,56.3,Safe
2026-05-05 09:36:24 UTC,6,9,259.81,1.71,29.9,56.5,Safe
2026-05-05 09:36:34 UTC,10,14,276.86,1.27,29.8,56.1,Safe
2026-05-05 09:36:44 UTC,5,16,220.07,1.54,29.9,56.3,Safe
2026-05-05 09:36:54 UTC,9,12,245.15,1.49,29.6,56,Safe
2026-05-05 09:37:04 UTC,9,9,240.99,1.5,29.7,56.4,Safe
2026-05-05 09:37:14 UTC,8,8,252.73,1.57,29.8,56,Safe
2026-05-05 09:37:24 UTC,10,10,265.65,1.59,29.9,56.3,Safe
2026-05-05 09:37:34 UTC,8,10,232.49,1.44,29.8,56.1,Safe
2026-05-05 09:37:44 UTC,6,15,218.44,1.93,29.8,56.2,Safe
2026-05-05 09:37:54 UTC,5,11,237.42,1.06,29.8,56.1,Safe
2026-05-05 09:38:04 UTC,7,11,230.01,1.63,29.7,56.1,Safe
2026-05-05 09:38:14 UTC,4,12,218.29,1.24,30,55.8,Safe
2026-05-05 09:38:24 UTC,5,16,282.52,1.61,30,56.3,Safe
2026-05-05 09:38:34 UTC,6,15,265.07,1.71,29.9,56.7,Safe
2026-05-05 09:38:44 UTC,7,11,243.27,1.86,29.8,56.2,Safe
2026-05-05 09:38:54 UTC,8,13,245.48,1.61,29.9,56,Safe
2026-05-05 09:39:04 UTC,8,11,238.58,1.26,29.6,55.9,Safe
2026-05-05 09:39:14 UTC,6,10,254.62,1.35,29.8,56.2,Safe
2026-05-05 09:39:24 UTC,8,9,263.63,1.56,29.7,55.7,Safe
2026-05-05 09:39:34 UTC,10,12,291.6,1.47,29.8,56.1,Safe
2026-05-05 09:39:44 UTC,8,15,377.15,1.52,29.9,55.1,Safe
2026-05-05 09:39:54 UTC,8,14,393.01,1.5,29.9,55.8,Safe
2026-05-05 09:40:04 UTC,11,15,367.77,1.6,29.8,55.6,Safe
2026-05-05 09:40:14 UTC,9,11,428.26,1.66,29.7,56,Safe
2026-05-05 09:40:24 UTC,9,14,488.31,1.69,29.8,55.5,Safe
2026-05-05 09:40:34 UTC,9,11,593.25,1.82,29.7,54.7,Safe
2026-05-05 09:40:44 UTC,7,14,623.88,1.79,29.6,56,Safe
2026-05-05 09:40:54 UTC,8,15,706.1,1.8,29.7,56,Safe
2026-05-05 09:41:04 UTC,9,13,750.76,1.88,29.9,55.3,Safe
2026-05-05 09:41:14 UTC,9,15,817.27,1.59,29.8,56,Safe
