created_at,entry_id,field6
2019-06-02 05:04:18 UTC,33,
2019-06-02 05:10:13 UTC,34,
2019-06-02 05:16:10 UTC,35,
2019-06-02 05:22:06 UTC,36,
2019-06-02 06:00:59 UTC,37,
2019-06-02 06:09:08 UTC,38,
2019-06-02 06:15:01 UTC,39,
2019-06-02 06:20:56 UTC,40,
2019-06-02 06:26:52 UTC,41,
2019-06-02 06:36:04 UTC,42,
2019-06-02 06:40:36 UTC,43,
2019-06-02 06:53:56 UTC,44,
2019-06-02 06:59:50 UTC,45,
2019-06-02 07:05:46 UTC,46,
2019-06-02 07:24:08 UTC,47,
2019-06-02 08:38:59 UTC,48,22
2019-06-02 08:39:20 UTC,49,20
2019-06-02 08:39:40 UTC,50,22
2019-06-02 08:40:01 UTC,51,21
2019-06-02 08:40:22 UTC,52,20
2019-06-02 08:40:42 UTC,53,19
2019-06-02 08:41:03 UTC,54,19
2019-06-02 08:41:24 UTC,55,19
2019-06-02 08:41:44 UTC,56,20
2019-06-02 08:42:05 UTC,57,20
2019-06-02 08:42:26 UTC,58,20
2019-06-02 08:42:46 UTC,59,20
2019-06-02 08:43:07 UTC,60,19
2019-06-02 08:43:28 UTC,61,20
2019-06-02 08:43:49 UTC,62,20
2019-06-02 08:44:09 UTC,63,20
2019-06-02 08:44:30 UTC,64,20
2019-06-02 08:44:51 UTC,65,21
2019-06-02 08:45:11 UTC,66,20
2019-06-02 08:45:32 UTC,67,22
2019-06-02 08:45:53 UTC,68,22
2019-06-02 08:46:13 UTC,69,21
2019-06-02 08:46:34 UTC,70,22
2019-06-02 08:46:55 UTC,71,21
2019-06-02 08:47:15 UTC,72,22
2019-06-02 08:47:36 UTC,73,23
2019-06-02 08:47:57 UTC,74,23
2019-06-02 09:45:16 UTC,75,23
2019-06-02 09:45:36 UTC,76,24
2019-06-02 09:45:57 UTC,77,24
2019-06-02 09:46:18 UTC,78,23
2019-06-02 09:46:39 UTC,79,23
2019-06-02 09:46:59 UTC,80,23
2019-06-02 09:50:28 UTC,81,25
2019-06-02 09:50:49 UTC,82,25
2019-06-02 09:51:10 UTC,83,25
2019-06-02 09:51:30 UTC,84,23
2019-06-02 09:51:51 UTC,85,24
2019-06-02 09:52:12 UTC,86,25
2019-06-02 09:52:32 UTC,87,25
2019-06-02 09:52:53 UTC,88,23
2019-06-02 09:53:14 UTC,89,23
2019-06-02 09:53:34 UTC,90,23
2019-06-02 09:53:55 UTC,91,23
2019-06-02 09:54:15 UTC,92,23
2019-06-02 09:54:36 UTC,93,24
2019-06-02 09:54:57 UTC,94,23
2019-06-02 09:55:18 UTC,95,23
2019-06-02 09:55:38 UTC,96,25
2019-06-02 09:55:59 UTC,97,24
2019-06-02 09:56:19 UTC,98,25
2019-06-02 09:56:40 UTC,99,23
2019-06-03 06:44:17 UTC,100,23
2019-06-03 06:53:30 UTC,101,22
2019-06-03 06:59:23 UTC,102,21
2019-06-03 07:06:34 UTC,103,22
2019-06-03 07:12:56 UTC,104,20
2019-06-03 07:17:32 UTC,105,21
2019-06-03 07:24:50 UTC,106,21
2019-06-03 07:34:50 UTC,107,19
2019-06-03 07:41:47 UTC,108,21
2019-06-03 07:48:13 UTC,109,20
2019-06-03 07:54:08 UTC,110,20
2019-06-03 08:00:05 UTC,111,22
2019-06-03 08:06:01 UTC,112,19
2019-06-03 08:11:58 UTC,113,19
2019-06-03 08:19:04 UTC,114,20
2019-06-03 08:29:37 UTC,115,21
2019-06-03 08:43:15 UTC,116,19
2019-06-03 08:50:15 UTC,117,17
2019-06-03 08:56:11 UTC,118,19
2019-06-04 16:03:43 UTC,119,25
2019-06-04 16:10:04 UTC,120,25
2019-06-04 16:16:15 UTC,121,25
2019-06-04 16:22:13 UTC,122,25
2019-06-04 16:28:10 UTC,123,25
2019-06-04 16:34:08 UTC,124,23
2019-06-04 16:40:06 UTC,125,23
2019-06-04 16:46:03 UTC,126,25
2019-06-04 16:52:03 UTC,127,23
2019-06-04 16:58:01 UTC,128,24
2019-06-04 17:04:00 UTC,129,23
2019-06-04 17:10:00 UTC,130,23
2019-06-04 17:15:58 UTC,131,23
2019-06-04 18:00:48 UTC,132,31
