Timestamp,PM2.5,PM10,Gas,CO,Temp,Hum,Class,Remark
2026-05-19 07:30:24 UTC,8,9,4.45,0.94,29.2,92.8,0,SAFE: ELEVATED HUMIDITY ONLY. CONTINUE OPERATIONS WITH HYDRATION
2026-05-19 07:30:34 UTC,8,9,4.56,0.98,29.0,91.9,0,SAFE: ELEVATED HUMIDITY ONLY. CONTINUE OPERATIONS WITH HYDRATION
2026-05-19 07:30:44 UTC,8,8,4.33,0.97,29.0,92.0,0,SAFE: ELEVATED HUMIDITY ONLY. CONTINUE OPERATIONS WITH HYDRATION
2026-05-19 07:30:54 UTC,8,8,4.88,0.97,29.0,91.9,0,SAFE: ELEVATED HUMIDITY ONLY. CONTINUE OPERATIONS WITH HYDRATION
2026-05-19 07:31:04 UTC,8,8,4.73,0.96,29.1,92.2,0,SAFE: ELEVATED HUMIDITY ONLY. CONTINUE OPERATIONS WITH HYDRATION
2026-05-19 07:31:14 UTC,8,9,4.76,0.97,29.1,92.7,0,SAFE: ELEVATED HUMIDITY ONLY. CONTINUE OPERATIONS WITH HYDRATION
2026-05-19 07:31:24 UTC,8,9,4.66,0.97,29.1,92.8,0,SAFE: ELEVATED HUMIDITY ONLY. CONTINUE OPERATIONS WITH HYDRATION
2026-05-19 07:31:34 UTC,8,9,4.53,0.97,29.2,92.7,0,SAFE: ELEVATED HUMIDITY ONLY. CONTINUE OPERATIONS WITH HYDRATION
2026-05-19 07:31:44 UTC,8,9,4.51,0.93,29.2,92.1,0,SAFE: ELEVATED HUMIDITY ONLY. CONTINUE OPERATIONS WITH HYDRATION
2026-05-19 07:31:54 UTC,8,9,4.63,0.9,29.2,91.5,0,SAFE: ELEVATED HUMIDITY ONLY. CONTINUE OPERATIONS WITH HYDRATION
2026-05-19 07:32:04 UTC,8,9,4.63,0.92,29.2,91.2,0,SAFE: ELEVATED HUMIDITY ONLY. CONTINUE OPERATIONS WITH HYDRATION
2026-05-19 07:32:14 UTC,7,9,4.51,0.92,29.2,91.3,0,SAFE: ELEVATED HUMIDITY ONLY. CONTINUE OPERATIONS WITH HYDRATION
2026-05-19 07:32:24 UTC,7,9,4.38,0.9,29.2,91.4,0,SAFE: ELEVATED HUMIDITY ONLY. CONTINUE OPERATIONS WITH HYDRATION
2026-05-19 07:32:34 UTC,8,9,4.56,0.9,29.2,91.4,0,SAFE: ELEVATED HUMIDITY ONLY. CONTINUE OPERATIONS WITH HYDRATION
